"Unemployment Rates for Metropolitan Areas, 2020-2024 Annual Averages",,,,,,,
State FIPS code,LAUS area code,Metropolitan area title,2020,2021,2022,2023,2024
01,MT0111500000000,"Anniston-Oxford, AL",7.2,3.7,2.7,2.6,3.2
01,MT0112220000000,"Auburn-Opelika, AL",5.8,2.9,2.3,2.3,3.0
01,MT0113820000000,"Birmingham, AL",6.0,3.1,2.3,2.3,2.9
01,MT0119300000000,"Daphne-Fairhope-Foley, AL",5.7,2.7,2.2,2.2,2.7
01,MT0119460000000,"Decatur, AL",5.1,2.7,2.2,2.1,2.6
01,MT0120020000000,"Dothan, AL",5.5,3.1,2.4,2.5,3.1
01,MT0122520000000,"Florence-Muscle Shoals, AL",6.4,3.3,2.7,2.6,3.3
01,MT0123460000000,"Gadsden, AL",7.9,3.8,2.7,2.5,3.3
01,MT0126620000000,"Huntsville, AL",4.8,2.5,2.0,2.0,2.6
01,MT0133660000000,"Mobile, AL",8.9,4.7,3.2,3.1,3.8
01,MT0133860000000,"Montgomery, AL",7.5,4.1,2.8,2.6,3.1
01,MT0146220000000,"Tuscaloosa, AL",7.4,3.7,2.7,2.6,3.3
02,MT0211260000000,"Anchorage, AK",8.1,6.2,3.9,3.8,4.2
02,MT0221820000000,"Fairbanks-College, AK",6.7,5.1,3.8,3.8,4.0
04,MT0422380000000,"Flagstaff, AZ",9.9,6.3,4.4,4.0,3.9
04,MT0429420000000,"Lake Havasu City-Kingman, AZ",10.2,5.9,4.7,4.5,4.4
04,MT0438060000000,"Phoenix-Mesa-Chandler, AZ",7.3,4.6,3.3,3.2,3.2
04,MT0439150000000,"Prescott Valley-Prescott, AZ",7.8,4.5,3.6,3.6,3.5
04,MT0443420000000,"Sierra Vista-Douglas, AZ",7.2,5.2,4.5,4.4,4.2
04,MT0446060000000,"Tucson, AZ",7.6,5.1,3.8,3.6,3.6
04,MT0449740000000,"Yuma, AZ",17.0,12.9,12.1,12.2,12.2
05,MT0522220000000,"Fayetteville-Springdale-Rogers, AR",4.6,2.9,2.4,2.4,2.7
05,MT0522900000000,"Fort Smith, AR-OK",5.9,3.7,3.0,3.3,3.5
05,MT0526300000000,"Hot Springs, AR",7.7,4.7,3.5,3.4,3.6
05,MT0527860000000,"Jonesboro, AR",5.7,3.5,2.8,2.8,3.2
05,MT0530780000000,"Little Rock-North Little Rock-Conway, AR",6.5,4.1,3.0,2.9,3.2
06,MT0612540000000,"Bakersfield-Delano, CA",12.7,9.9,7.1,8.2,8.6
06,MT0617020000000,"Chico, CA",9.5,6.9,4.6,5.2,5.9
06,MT0620940000000,"El Centro, CA",23.2,18.0,15.4,17.6,18.4
06,MT0623420000000,"Fresno, CA",11.6,9.2,6.5,7.4,7.9
06,MT0625260000000,"Hanford-Corcoran, CA",12.3,10.1,7.4,8.5,8.9
06,MT0631080000000,"Los Angeles-Long Beach-Anaheim, CA",11.4,8.2,4.6,4.7,5.4
06,MT0632900000000,"Merced, CA",12.5,10.3,7.9,9.0,9.8
06,MT0633700000000,"Modesto, CA",10.8,8.3,5.4,6.3,6.9
06,MT0634900000000,"Napa, CA",8.9,6.1,3.2,3.4,3.9
06,MT0637100000000,"Oxnard-Thousand Oaks-Ventura, CA",8.7,6.2,3.7,4.2,4.6
06,MT0639820000000,"Redding, CA",8.5,6.6,4.5,4.8,5.3
06,MT0640140000000,"Riverside-San Bernardino-Ontario, CA",9.9,7.4,4.2,4.7,5.2
06,MT0640900000000,"Sacramento-Roseville-Folsom, CA",8.7,6.3,3.8,4.2,4.7
06,MT0641500000000,"Salinas, CA",11.3,8.4,6.2,7.0,7.3
06,MT0641740000000,"San Diego-Chula Vista-Carlsbad, CA",9.2,6.4,3.4,3.7,4.3
06,MT0641860000000,"San Francisco-Oakland-Fremont, CA",8.3,5.6,3.0,3.6,4.2
06,MT0641940000000,"San Jose-Sunnyvale-Santa Clara, CA",7.4,5.0,2.9,3.6,4.2
06,MT0642020000000,"San Luis Obispo-Paso Robles, CA",8.1,5.5,3.2,3.6,4.1
06,MT0642100000000,"Santa Cruz-Watsonville, CA",9.6,6.7,4.8,5.5,5.9
06,MT0642200000000,"Santa Maria-Santa Barbara, CA",8.2,5.8,3.6,4.0,4.5
06,MT0642220000000,"Santa Rosa-Petaluma, CA",8.1,5.6,3.2,3.6,4.1
06,MT0644700000000,"Stockton-Lodi, CA",11.1,8.3,5.2,6.0,6.5
06,MT0646700000000,"Vallejo, CA",9.4,7.2,4.1,4.4,5.0
06,MT0647300000000,"Visalia, CA",13.3,10.6,8.2,9.8,10.3
06,MT0649700000000,"Yuba City, CA",11.0,8.7,6.3,7.3,7.8
08,MT0814500000000,"Boulder, CO",6.0,4.6,2.7,3.2,4.2
08,MT0817820000000,"Colorado Springs, CO",6.6,5.6,3.2,3.4,4.3
08,MT0819740000000,"Denver-Aurora-Centennial, CO",6.9,5.5,3.0,3.2,4.2
08,MT0822660000000,"Fort Collins-Loveland, CO",6.1,5.0,2.9,3.1,4.1
08,MT0824300000000,"Grand Junction, CO",6.8,5.8,3.4,3.6,4.4
08,MT0824540000000,"Greeley, CO",6.5,5.8,3.3,3.5,4.5
08,MT0839380000000,"Pueblo, CO",7.9,8.2,4.6,4.7,5.9
09,MT0914860000000,"Bridgeport-Stamford-Danbury, CT",7.6,6.0,3.8,3.1,3.1
09,MT0925540000000,"Hartford-West Hartford-East Hartford, CT",7.9,6.5,4.1,3.2,3.2
09,MT0935300000000,"New Haven, CT",7.8,6.5,4.0,3.2,3.2
09,MT0935980000000,"Norwich-New London-Willimantic, CT",9.8,7.2,4.3,3.2,3.1
09,MT0947930000000,"Waterbury-Shelton, CT",8.5,7.1,4.5,3.7,3.6
10,MT1020100000000,"Dover, DE",7.9,6.0,4.6,4.1,4.0
11,MT1147900000000,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6.4,4.5,2.8,2.5,3.0
12,MT1215980000000,"Cape Coral-Fort Myers, FL",7.8,4.4,3.4,3.3,3.5
12,MT1218880000000,"Crestview-Fort Walton Beach-Destin, FL",5.7,3.5,2.6,2.7,3.1
12,MT1219660000000,"Deltona-Daytona Beach-Ormond Beach, FL",8.1,4.8,3.4,3.4,3.9
12,MT1223540000000,"Gainesville, FL",5.8,4.1,3.1,3.3,3.8
12,MT1226140000000,"Homosassa Springs, FL",8.3,5.6,4.1,4.4,5.0
12,MT1227260000000,"Jacksonville, FL",6.5,4.2,3.0,3.1,3.5
12,MT1229460000000,"Lakeland-Winter Haven, FL",9.2,5.3,3.6,3.7,4.2
12,MT1233100000000,"Miami-Fort Lauderdale-West Palm Beach, FL",8.4,5.1,2.8,2.5,2.9
12,MT1234940000000,"Naples-Marco Island, FL",7.7,4.0,3.1,3.0,3.4
12,MT1235840000000,"North Port-Bradenton-Sarasota, FL",7.2,4.1,3.0,3.1,3.6
12,MT1236100000000,"Ocala, FL",7.2,5.0,3.6,3.7,4.2
12,MT1236740000000,"Orlando-Kissimmee-Sanford, FL",10.4,5.0,3.0,2.9,3.3
12,MT1237340000000,"Palm Bay-Melbourne-Titusville, FL",6.9,4.2,3.0,3.1,3.5
12,MT1237460000000,"Panama City-Panama City Beach, FL",6.3,4.1,2.9,3.0,3.4
12,MT1237860000000,"Pensacola-Ferry Pass-Brent, FL",6.5,4.3,3.0,3.1,3.5
12,MT1238940000000,"Port St. Lucie, FL",7.5,4.6,3.3,3.4,3.8
12,MT1239460000000,"Punta Gorda, FL",8.0,4.8,3.8,3.7,4.1
12,MT1242680000000,"Sebastian-Vero Beach-West Vero Corridor, FL",7.9,5.0,3.7,3.6,4.1
12,MT1242700000000,"Sebring, FL",8.1,6.0,4.3,4.3,4.9
12,MT1245220000000,"Tallahassee, FL",6.1,4.4,3.1,3.1,3.5
12,MT1245300000000,"Tampa-St. Petersburg-Clearwater, FL",7.5,4.3,2.9,3.0,3.5
12,MT1248680000000,"Wildwood-The Villages, FL",9.4,6.3,5.0,5.2,5.9
13,MT1310500000000,"Albany, GA",7.4,5.3,4.0,3.9,4.2
13,MT1312020000000,"Athens-Clarke County, GA",5.4,3.3,3.0,3.0,3.3
13,MT1312060000000,"Atlanta-Sandy Springs-Roswell, GA",6.8,3.9,3.0,3.2,3.4
13,MT1312260000000,"Augusta-Richmond County, GA-SC",5.8,4.0,3.6,3.7,4.4
13,MT1315260000000,"Brunswick-St. Simons, GA",6.5,3.7,3.0,2.9,3.1
13,MT1317980000000,"Columbus, GA-AL",6.7,4.3,3.6,3.7,4.0
13,MT1319140000000,"Dalton, GA",6.5,3.6,3.5,3.5,4.0
13,MT1323580000000,"Gainesville, GA",4.9,2.8,2.6,2.6,2.8
13,MT1325980000000,"Hinesville, GA",6.5,4.2,3.8,3.8,4.0
13,MT1331420000000,"Macon-Bibb County, GA",6.9,4.6,3.7,3.8,4.2
13,MT1340660000000,"Rome, GA",6.3,3.7,3.2,3.2,3.5
13,MT1342340000000,"Savannah, GA",6.8,3.9,3.0,2.9,3.1
13,MT1346660000000,"Valdosta, GA",6.1,4.2,3.4,3.6,3.9
13,MT1347580000000,"Warner Robins, GA",5.1,3.7,3.2,3.0,3.2
15,MT1527980000000,"Kahului-Wailuku, HI",18.2,7.8,3.3,4.4,4.4
15,MT1546520000000,"Urban Honolulu, HI",10.0,5.5,3.2,2.6,2.7
16,MT1614260000000,"Boise City, ID",5.6,3.4,2.6,3.0,3.5
16,MT1617660000000,"Coeur d'Alene, ID",7.1,4.3,3.5,3.7,4.4
16,MT1626820000000,"Idaho Falls, ID",4.0,2.9,2.5,2.7,3.1
16,MT1630300000000,"Lewiston, ID-WA",5.3,3.5,3.1,3.1,3.6
16,MT1638540000000,"Pocatello, ID",5.6,3.9,3.2,3.5,4.0
16,MT1646300000000,"Twin Falls, ID",4.9,3.4,2.8,3.2,3.5
17,MT1714010000000,"Bloomington, IL",6.4,4.5,3.6,3.7,3.9
17,MT1716580000000,"Champaign-Urbana, IL",6.4,4.9,3.9,4.2,4.2
17,MT1716980000000,"Chicago-Naperville-Elgin, IL-IN",9.8,6.2,4.6,4.4,5.1
17,MT1719500000000,"Decatur, IL",9.8,7.7,5.8,6.1,5.8
17,MT1728100000000,"Kankakee, IL",8.9,6.7,5.6,5.9,5.7
17,MT1737900000000,"Peoria, IL",8.6,5.9,4.6,4.9,4.9
17,MT1740420000000,"Rockford, IL",11.0,8.4,6.1,6.2,5.6
17,MT1744100000000,"Springfield, IL",8.2,5.7,4.3,4.3,4.3
18,MT1814020000000,"Bloomington, IN",5.4,3.0,2.6,3.0,3.8
18,MT1818020000000,"Columbus, IN",7.4,3.5,2.7,3.2,4.1
18,MT1821140000000,"Elkhart-Goshen, IN",8.4,3.1,2.8,4.5,4.9
18,MT1821780000000,"Evansville, IN",6.8,3.7,3.0,3.2,3.9
18,MT1823060000000,"Fort Wayne, IN",7.4,3.7,2.8,3.1,3.9
18,MT1826900000000,"Indianapolis-Carmel-Greenwood, IN",6.8,3.8,2.9,3.1,3.8
18,MT1829020000000,"Kokomo, IN",10.6,6.4,4.8,5.0,6.9
18,MT1829200000000,"Lafayette-West Lafayette, IN",6.4,3.4,2.8,2.9,3.7
18,MT1833140000000,"Michigan City-La Porte, IN",9.2,5.0,3.5,3.9,4.7
18,MT1834620000000,"Muncie, IN",7.4,4.3,3.6,3.9,4.7
18,MT1843780000000,"South Bend-Mishawaka, IN-MI",8.8,4.7,3.6,4.1,4.9
18,MT1845460000000,"Terre Haute, IN",7.2,4.2,3.4,3.6,4.4
19,MT1911180000000,"Ames, IA",3.9,3.0,2.3,2.3,2.4
19,MT1916300000000,"Cedar Rapids, IA",5.9,4.3,3.0,3.3,3.3
19,MT1719340000000,"Davenport-Moline-Rock Island, IA-IL",7.7,5.2,3.9,4.3,4.6
19,MT1919780000000,"Des Moines-West Des Moines, IA",5.3,3.8,2.7,2.7,3.0
19,MT1920220000000,"Dubuque, IA",6.0,4.2,3.1,3.0,3.3
19,MT1926980000000,"Iowa City, IA",4.6,3.4,2.4,2.4,2.4
19,MT1943580000000,"Sioux City, IA-NE-SD",5.2,3.8,2.8,2.8,2.9
19,MT1947940000000,"Waterloo-Cedar Falls, IA",5.5,3.8,2.8,3.0,3.5
20,MT2029940000000,"Lawrence, KS",5.7,3.1,2.5,2.6,3.3
20,MT2031740000000,"Manhattan, KS",4.8,3.0,2.7,2.8,3.4
20,MT2045820000000,"Topeka, KS",5.8,3.3,2.9,3.0,3.7
20,MT2048620000000,"Wichita, KS",8.1,4.4,3.1,3.1,3.9
21,MT2114540000000,"Bowling Green, KY",6.1,3.9,3.7,4.0,4.7
21,MT2121060000000,"Elizabethtown, KY",6.9,4.5,4.3,4.3,5.2
21,MT2130460000000,"Lexington-Fayette, KY",5.8,3.8,3.3,3.6,4.2
21,MT2131140000000,"Louisville/Jefferson County, KY-IN",6.6,4.2,3.7,3.8,4.5
21,MT2136980000000,"Owensboro, KY",5.8,4.0,4.0,4.3,5.0
21,MT2137140000000,"Paducah, KY-IL",7.0,4.9,4.3,4.4,5.1
22,MT2210780000000,"Alexandria, LA",6.5,4.1,3.2,3.5,4.1
22,MT2212940000000,"Baton Rouge, LA",8.1,5.2,3.5,3.6,4.1
22,MT2225220000000,"Hammond, LA",9.6,6.2,4.1,4.2,4.9
22,MT2226380000000,"Houma-Bayou Cane-Thibodaux, LA",7.4,5.3,3.5,3.2,3.8
22,MT2229180000000,"Lafayette, LA",7.3,4.7,3.1,3.2,3.8
22,MT2229340000000,"Lake Charles, LA",10.0,6.0,3.8,3.8,4.5
22,MT2233740000000,"Monroe, LA",8.1,5.5,4.0,4.2,4.9
22,MT2235380000000,"New Orleans-Metairie, LA",10.6,6.9,3.9,3.9,4.4
22,MT2243340000000,"Shreveport-Bossier City, LA",8.4,5.5,3.7,3.8,4.4
22,MT2243640000000,"Slidell-Mandeville-Covington, LA",6.8,3.8,2.8,3.2,3.9
23,MT2312620000000,"Bangor, ME",5.1,5.0,3.1,2.8,3.3
23,MT2330340000000,"Lewiston-Auburn, ME",5.0,5.0,2.9,2.7,3.2
23,MT2338860000000,"Portland-South Portland, ME",4.8,4.2,2.4,2.2,2.7
24,MT2412580000000,"Baltimore-Columbia-Towson, MD",6.4,5.0,3.0,2.2,3.1
24,MT2425180000000,"Hagerstown-Martinsburg, MD-WV",6.3,4.3,3.0,2.9,3.3
24,MT2430500000000,"Lexington Park, MD",4.8,4.1,2.8,2.0,2.7
24,MT2441540000000,"Salisbury, MD",7.0,5.5,3.5,2.6,3.4
25,MT2511200000000,"Amherst Town-Northampton, MA",7.7,4.8,3.5,3.2,3.8
25,MT2512700000000,"Barnstable Town, MA",10.8,6.3,4.7,4.4,4.8
25,MT2514460000000,"Boston-Cambridge-Newton, MA-NH",8.7,4.8,3.3,3.2,3.7
25,MT2538340000000,"Pittsfield, MA",9.6,6.1,4.2,3.7,4.0
25,MT2544140000000,"Springfield, MA",10.9,6.8,4.8,4.5,5.1
25,MT2549340000000,"Worcester, MA",9.1,5.4,3.8,3.6,4.1
26,MT2611460000000,"Ann Arbor, MI",6.6,4.1,3.4,3.2,3.8
26,MT2612980000000,"Battle Creek, MI",10.1,6.4,4.7,4.4,5.2
26,MT2613020000000,"Bay City, MI",9.7,6.0,5.1,5.0,5.6
26,MT2619820000000,"Detroit-Warren-Dearborn, MI",11.6,6.1,3.9,3.6,4.5
26,MT2622420000000,"Flint, MI",11.4,7.1,5.3,4.9,5.7
26,MT2624340000000,"Grand Rapids-Wyoming-Kentwood, MI",7.9,4.5,3.5,3.4,4.0
26,MT2627100000000,"Jackson, MI",9.4,5.7,4.5,4.2,4.8
26,MT2628020000000,"Kalamazoo-Portage, MI",7.4,4.7,3.7,3.6,4.2
26,MT2629620000000,"Lansing-East Lansing, MI",7.7,5.1,4.2,3.8,4.4
26,MT2633220000000,"Midland, MI",7.8,4.7,4.2,3.8,4.5
26,MT2633780000000,"Monroe, MI",9.3,5.9,4.8,4.3,5.3
26,MT2634740000000,"Muskegon-Norton Shores, MI",11.3,6.7,4.7,4.3,5.1
26,MT2635660000000,"Niles, MI",8.9,5.5,4.4,4.2,5.0
26,MT2640980000000,"Saginaw, MI",10.3,6.8,5.4,5.2,5.9
26,MT2645900000000,"Traverse City, MI",9.0,5.2,4.1,3.9,4.3
27,MT2720260000000,"Duluth, MN-WI",7.7,4.2,3.3,3.4,3.5
27,MT2731860000000,"Mankato, MN",5.4,3.3,2.1,2.3,2.6
27,MT2733460000000,"Minneapolis-St. Paul-Bloomington, MN-WI",6.4,3.6,2.3,2.6,2.9
27,MT2740340000000,"Rochester, MN",5.5,3.2,2.2,2.4,2.5
27,MT2741060000000,"St. Cloud, MN",6.1,4.1,2.7,3.0,3.1
28,MT2825060000000,"Gulfport-Biloxi, MS",8.6,5.2,3.6,2.9,2.9
28,MT2825620000000,"Hattiesburg, MS",7.1,5.0,3.5,2.8,3.0
28,MT2827140000000,"Jackson, MS",7.6,5.1,3.5,2.8,2.8
29,MT2916020000000,"Cape Girardeau, MO-IL",5.4,3.6,2.5,2.9,3.5
29,MT2917860000000,"Columbia, MO",4.4,2.9,2.1,2.7,3.1
29,MT2927620000000,"Jefferson City, MO",4.4,3.1,2.2,2.7,3.1
29,MT2927900000000,"Joplin, MO-KS",5.6,3.5,2.4,3.0,3.6
29,MT2928140000000,"Kansas City, MO-KS",6.1,4.1,2.7,3.0,3.6
29,MT2941140000000,"St. Joseph, MO-KS",5.2,3.8,2.7,3.2,3.7
29,MT2941180000000,"St. Louis, MO-IL1",6.8,4.5,2.9,3.3,3.7
29,MT2944180000000,"Springfield, MO",5.4,3.3,2.3,2.8,3.3
30,MT3013740000000,"Billings, MT",5.4,3.1,2.4,2.4,2.8
30,MT3014580000000,"Bozeman, MT",5.2,2.5,2.0,2.1,2.3
30,MT3024500000000,"Great Falls, MT",5.8,3.3,2.6,2.7,3.0
30,MT3025740000000,"Helena, MT",5.1,3.1,2.5,2.5,2.7
30,MT3033540000000,"Missoula, MT",6.0,3.2,2.5,2.5,2.9
31,MT3124260000000,"Grand Island, NE",5.3,2.8,2.2,2.2,3.0
31,MT3130700000000,"Lincoln, NE",4.2,2.5,2.0,2.1,2.5
31,MT3136540000000,"Omaha, NE-IA",4.7,3.0,2.4,2.5,3.0
32,MT3216180000000,"Carson City, NV",8.0,4.3,4.2,4.4,4.7
32,MT3229820000000,"Las Vegas-Henderson-North Las Vegas, NV",15.5,7.8,5.6,5.4,5.8
32,MT3239900000000,"Reno, NV",8.2,4.2,4.1,4.5,4.8
33,MT3331700000000,"Manchester-Nashua, NH",7.0,3.6,2.5,2.4,2.8
34,MT3412100000000,"Atlantic City-Hammonton, NJ",15.6,9.4,5.5,5.9,6.2
34,MT3445940000000,"Trenton-Princeton, NJ",8.0,6.1,3.6,4.1,4.4
34,MT3447220000000,"Vineland, NJ",11.1,8.6,5.6,6.7,7.0
35,MT3510740000000,"Albuquerque, NM",7.6,6.5,3.7,3.4,3.9
35,MT3522140000000,"Farmington, NM",9.6,8.6,4.7,4.2,4.7
35,MT3529740000000,"Las Cruces, NM",8.0,7.0,4.6,4.3,4.9
35,MT3542140000000,"Santa Fe, NM",7.7,6.5,3.7,3.3,3.7
36,MT3610580000000,"Albany-Schenectady-Troy, NY",6.9,4.4,3.1,3.1,3.3
36,MT3613780000000,"Binghamton, NY",8.0,5.0,3.7,3.6,3.9
36,MT3615380000000,"Buffalo-Cheektowaga, NY",9.1,5.4,3.6,3.6,3.9
36,MT3621300000000,"Elmira, NY",8.2,5.1,3.6,3.7,3.8
36,MT3624020000000,"Glens Falls, NY",7.5,4.7,3.3,3.3,3.5
36,MT3627060000000,"Ithaca, NY",5.7,3.9,2.9,3.1,3.3
36,MT3628740000000,"Kingston, NY",7.9,4.8,3.3,3.4,3.6
36,MT3628880000000,"Kiryas Joel-Poughkeepsie-Newburgh, NY",7.8,4.7,3.2,3.3,3.5
36,MT3635620000000,"New York-Newark-Jersey City, NY-NJ",10.3,7.6,4.4,4.3,4.5
36,MT3640380000000,"Rochester, NY",7.8,5.0,3.4,3.4,3.6
36,MT3645060000000,"Syracuse, NY",8.0,5.0,3.5,3.5,3.6
36,MT3646540000000,"Utica-Rome, NY",7.7,5.2,3.6,3.6,3.8
36,MT3648060000000,"Watertown-Fort Drum, NY",8.4,5.1,4.1,4.1,4.4
37,MT3711700000000,"Asheville, NC",7.9,4.3,3.1,2.9,4.0
37,MT3715500000000,"Burlington, NC",7.2,4.9,3.8,3.5,3.6
37,MT3716740000000,"Charlotte-Concord-Gastonia, NC-SC",7.2,4.7,3.5,3.3,3.6
37,MT3720500000000,"Durham-Chapel Hill, NC",6.2,4.2,3.3,3.1,3.2
37,MT3722180000000,"Fayetteville, NC",8.8,6.5,4.9,4.4,4.5
37,MT3724140000000,"Goldsboro, NC",6.4,5.1,4.0,3.7,3.7
37,MT3724660000000,"Greensboro-High Point, NC",8.1,5.4,4.0,3.9,4.0
37,MT3724780000000,"Greenville, NC",7.2,5.5,4.2,4.1,4.0
37,MT3725860000000,"Hickory-Lenoir-Morganton, NC",7.8,4.8,3.5,3.3,3.6
37,MT3727340000000,"Jacksonville, NC",6.8,4.8,3.9,3.7,3.7
37,MT3738240000000,"Pinehurst-Southern Pines, NC",7.0,4.6,3.6,3.5,3.4
37,MT3739580000000,"Raleigh-Cary, NC",6.2,4.0,3.1,3.0,3.1
37,MT3740580000000,"Rocky Mount, NC",8.8,6.9,5.4,4.8,4.8
37,MT3748900000000,"Wilmington, NC",7.5,4.8,3.8,3.6,3.5
37,MT3749180000000,"Winston-Salem, NC",7.3,4.9,3.7,3.5,3.6
38,MT3813900000000,"Bismarck, ND",4.2,2.7,2.0,2.0,2.3
38,MT3822020000000,"Fargo, ND-MN",4.2,2.5,1.8,1.9,2.3
38,MT3824220000000,"Grand Forks, ND-MN",4.8,3.1,2.1,2.2,2.4
